avg_waiting_time,time_when_first_car_at_main_queue,time_when_first_car_at_mini_queue,total_cars_serviced,total_cars_generated,cars_serviced_by_dispenser_0,cars_serviced_by_dispenser_1,cars_serviced_by_dispenser_2,cars_serviced_by_dispenser_3,total_cars_in_main_queue_at_end,total_cars_in_mini_queues_at_end,time_when_queue_is_full,total_cars_with_fuel_A,total_cars_with_fuel_B,number_of_mistakes
22.0,40,0,30,63,8,7,8,7,21,9,0,43,20,7
23.15625,37,0,32,64,9,8,8,7,20,9,0,47,17,1
24.88235294117647,35,0,34,69,8,9,9,8,21,10,0,54,15,3
27.0,26,0,33,67,8,9,8,8,21,10,0,46,21,3
22.735294117647058,38,0,34,63,9,8,9,8,14,11,0,45,18,5
23.964285714285715,35,0,28,69,8,7,7,6,25,12,0,45,24,3
21.393939393939394,45,0,33,67,9,9,8,7,19,12,0,50,17,4
28.466666666666665,29,0,30,65,7,8,8,7,20,11,0,46,19,3
27.451612903225808,30,0,31,66,8,8,8,7,21,11,0,50,16,2
23.424242424242426,40,0,33,70,9,9,7,8,21,12,0,48,22,2
26.620689655172413,32,0,29,65,6,8,7,8,21,11,0,43,22,4
24.58823529411765,38,0,34,66,8,10,9,7,18,10,0,48,18,4
26.642857142857142,27,0,28,64,8,7,7,6,20,12,0,47,17,12
28.34375,30,0,32,68,9,7,8,8,21,11,0,44,24,0
23.264705882352942,41,0,34,68,10,8,8,8,21,9,0,46,22,7
